WAVE,Nylon_raw,PET_raw,Styro_raw
360,-0.06598374039456185,0.424766420602254,-0.6810942749747808
361,-0.12307200373667532,0.3757887301050575,-0.6272724292541257
362,-0.19114652315111932,0.3275592713120859,-0.5851835631241615
363,-0.2558885760379037,0.2778097680946664,-0.5661839705860389
364,-0.30870316955037785,0.22724397590480674,-0.5705630967375103
365,-0.34949756946259497,0.18212652176447777,-0.5805719509438008
366,-0.372889378058553,0.14491235300379002,-0.5910855764924673
367,-0.3818239745400414,0.11983239925393951,-0.5834825912136042
368,-0.3783804732345542,0.10674016359989803,-0.5498671146199613
369,-0.3633505616259545,0.09698115214217884,-0.5020437380117955
370,-0.339156257425727,0.08627821881394708,-0.4413724500947917
371,-0.3065957746161642,0.07129585813541643,-0.37012186099513267
372,-0.2686968563232896,0.05231018835988608,-0.2869671065938039
373,-0.23351496574165356,0.03631361401523451,-0.17647808197179715
